"Index number","City","State","River","Jam date","Water year","Jam type","Latitude","Longitude","Gage number","Ahps id","Current condition","Damages"
"20190205215632","Maquoketa","IA","Maquoketa River","02/04/2019","2019","Break-up","42.083333","-90.632778","-","-","Causing Flooding","-"
"20190205215304","West Seneca","NY","Buffalo Creek","02/04/2019","2019","Break-up","42.85471389","-78.75535","-","-","Causing Flooding","-"
"20190205214744","Riverside","IL","Des Plaines River","02/04/2019","2019","Break-up","41.821667","-87.821944","-","-","Not Flooding","-"
"20190205214645","Kouts","IL","Kankakee River","02/04/2019","2019","Break-up","41.253889","-87.033889","-","-","Not Flooding","-"
"20190205214054","Garber","IA","Turkey River","02/04/2019","2019","Break-up","42.74","-91.261667","-","-","Not Flooding","-"
"20190205213948","Viola","WI","Kickapoo River","02/04/2019","2019","Break-up","43.5061","-90.6739","-","-","Not Flooding","-"
"20190205213726","Ewing","MO","North Fabius River","02/04/2019","2019","Break-up","40.018889","-91.621944","-","-","Not Flooding","-"
"20190205213401","Lafayette","IN","Wildcat Creek","02/03/2019","2019","Break-up","40.46944167","-86.85707222","-","-","Not Flooding","-"
"20190130123659","Springfield","VT","Black River","01/24/2019","2019","Break-up","43.31838611","-72.5056","-","-","Not Flooding","-"
"20190205215452","Covington","IN","Wabash River","02/04/2019","2019","Break-up","40.14","-87.406667","-","-","Causing Flooding","-"
"20190205215200","West Seneca","NY","Cazenovia Creek","02/04/2019","2019","Break-up","42.82523333","-78.75338056","-","-","Causing Flooding","-"
"20190205215007","St. Francisville","IA","Des Moines River","02/04/2019","2019","Break-up","40.4625","-91.566944","-","-","Not Flooding","-"
"20190205214546","Rockton","IL","Rock River","01/30/2019","2019","Freeze-up","42.450278","-89.0725","-","-","Not Flooding","-"
"20190205213838","Beetown","WI","Rattlesnake Creek","02/03/2019","2019","Break-up","42.77442222","-90.921875","-","-","Not Flooding","-"
"20190205213549","Ewing","MO","Middle Fabius River","02/04/2019","2019","Break-up","40.028889","-91.705556","-","-","Causing Flooding","-"
"20190201172740","Honor","MI","Platte River","01/30/2019","2019","Freeze-up","44.66137778","-86.02325556","-","-","Causing Flooding","-"
"20190205221339","Streator","IL","Vermilion River","02/05/2019","2019","Break-up","41.19311389","-88.90340556","-","-","Unknown","-"
"20190205220758","Campbell","NY","Cohocton River","02/05/2019","2019","Break-up","42.23128333","-77.19872778","-","-","Causing Flooding","-"
"20190205220048","Lone Tree","IA","Iowa River","02/04/2019","2019","Break-up","41.423889","-91.478611","-","-","Causing Flooding","-"
"20190205215934","Gregory Landing","MO","Mississippi River","02/04/2019","2019","Break-up","40.279167","-91.495833","-","-","Causing Flooding","-"
"20190205214843","Byron","IL","Rock River","02/01/2019","2019","Freeze-up","42.123056","-89.255833","-","-","Not Flooding","-"
"20190205214441","Ottawa","IL","Illinois River","02/04/2019","2019","Break-up","41.344444","-88.839167","-","-","Not Flooding","-"
"20190205214251","Manitowoc","WI","Manitowoc River","02/04/2019","2019","Break-up","44.107222","-87.715278","-","-","Not Flooding","-"
"20190205214153","greenleaf","WI","East River","02/04/2019","2019","Break-up","44.371944","-88.092222","-","-","Not Flooding","-"
"20190201170757","Newaygo","MI","Muskegon River","01/30/2019","2019","Freeze-up","43.416944","-85.808333","-","NEWM4","Causing Flooding","-"
"20190130125043","Peterborough","NH","Contoocook River","01/24/2019","2019","Break-up","42.86667222","-71.94955556","-","-","Not Flooding","-"
"20190130124813","Athol","MA","Millers River","01/24/2019","2019","Break-up","42.59323611","-72.23925278","-","-","Not Flooding","-"
"20190129215718","Albany","NY","Hudson River","01/25/2019","2019","Break-up","42.65440556","-73.74129444","-","-","Not Flooding","-"
"20190129215511","Afton","WI","Rock River","01/25/2019","2019","Freeze-up","42.613611","-89.0715","-","-","Causing Flooding","-"
"20190129215252","Waterbury","VT"," Winooski River","01/24/2019","2019","Break-up","44.30215833","-72.69642222","-","-","Not Flooding","-"
"20190129214656","Vermilion","OH","Vermilion River","01/23/2019","2019","Break-up","41.42286944","-82.36043056","-","-","Unknown","-"
"20190129214339","Eastlake","OH","Chagrin River","01/23/2019","2019","Break-up","41.67546944","-81.43598611","-","-","Unknown","-"
"20190129213344","Schenectady","NY","Mohawk River","01/24/2019","2019","Break-up","42.82935278","-73.93052778","-","-","Not Flooding","-"
"20190129213215","Granville","NY","Mettawee River","01/24/2019","2019","Break-up","43.46388889","-73.28416667","-","-","Not Flooding","-"
"20190129213046","Riparius","NY","Hudson River","01/22/2019","2019","Freeze-up","43.65578611","-73.89538611","-","-","Not Flooding","-"
"20190129212535","Gardenville","NY","Buffalo Creek","01/25/2019","2019","Break-up","42.85472222","-78.755","-","-","Not Flooding","-"
"20190129211948","Terry","MT","Yellowstone River","01/21/2019","2019","Freeze-up","46.79958611","-105.3742222","-","-","Not Flooding","-"
"20190129211844","Wolf Point","MT"," Missouri River","01/20/2019","2019","Freeze-up","48.067325","-105.5330972","-","-","Not Flooding","-"
"20190129205344","Fort Kent","CT"," Housatonic River","01/25/2019","2019","Break-up","41.71584167","-73.48279167","-","-","Not Flooding","-"
"20190129214130","Rockingham","NY","Williams River","01/24/2019","2019","Break-up","43.19166667","-72.48555556","-","-","Not Flooding","-"
